                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                 0.0002,                 0.0002,                 0.0002
                      2,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00037842,             0.00037842,             0.00037842
                      3,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00051328,             0.00051328,             0.00051328
                      4,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00060458,             0.00060458,             0.00060458
                      5,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00065232,             0.00065232,             0.00065232
                      6,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0006565,              0.0006565,              0.0006565
                      7,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00061712,             0.00061712,             0.00061712
                      8,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00053418,             0.00053418,             0.00053418
                      9,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,             0.00040768,             0.00040768,             0.00040768
                     10,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
